"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
64622,c594eb57-6b88-419f-a61f-727e013ce978,Krowodrza,RatherSafe,4,1,1,1,"3077,297397937717",1
64625,c594eb57-6b88-419f-a61f-727e013ce978,Krowodrza,RatherSafe,4,1,3,2,"3229,2043831352808",1
64879,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,6,1,1,1,"1060,8875778070226",1
64880,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,6,1,2,1,"2201,462401563644",1
64881,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,6,1,3,1,"1893,071704566756",1
65209,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,6,4,1,1,"3422,3724895520068",1
65236,24f83730-727f-41f8-b642-9bc3afee44f7,Nowa Huta,NotSafe,6,4,2,1,"3445,384968697532",1
66023,b774164b-d742-4690-a465-2d6e8b2d95fc,Podgórze Duchackie,NotSafe,3,1,1,1,"892,2532243474161",1
66052,b774164b-d742-4690-a465-2d6e8b2d95fc,Podgórze Duchackie,NotSafe,3,1,2,1,"1449,4531107723735",1
66141,f858656f-f7b9-44d0-ac74-1db63a09ce0d,Podgórze Duchackie,NotSafe,4,1,2,2,"3307,4892764846154",1
66171,f858656f-f7b9-44d0-ac74-1db63a09ce0d,Podgórze Duchackie,NotSafe,4,1,5,3,"9177,835137039581",1
67683,44cfba0f-25d7-48dd-8060-ebdb4543dc12,Wzgórza Krzes³awickie,Safe,3,1,1,1,"3454,680069600711",1
67897,12e1470a-a3f6-44d5-8f74-40e616db913b,Stare Miasto,NotSafe,2,1,1,1,"1049,2396844649295",1
67982,fc72fa84-ad82-45a8-892c-6741498e9e87,Nowa Huta,NotSafe,4,1,4,4,"6033,212153478211",1
69106,44cfba0f-25d7-48dd-8060-ebdb4543dc12,Wzgórza Krzes³awickie,Safe,3,2,1,1,"3408,400372026993",1
69107,03939618-53ea-4b8b-9795-aa76645b0211,Zwierzyniec,RatherSafe,2,1,1,1,"3161,228275340781",1
69718,bc5b4956-139c-4d65-b189-903e34690975,Nowa Huta,NotSafe,5,1,1,1,"3590,1496762755905",1
70292,bc5b4956-139c-4d65-b189-903e34690975,Nowa Huta,NotSafe,5,2,1,1,"3312,975013929585",1
70483,bc5b4956-139c-4d65-b189-903e34690975,Nowa Huta,NotSafe,5,2,2,1,"3448,9629149753036",1
